FileName,Title,Artist,Album,Year,Genre,BPM,BitRate,Duration
Ulysse - Naïma.mp3,Naïma,Ulysse,Naïma,None,None,None,320,4:20
What Does It Take (To Win Your Love).mp3,What Does It Take (To Win Your Love),Bay Brothers ,What Does It Take (To Win Your Love) / One And Only,1981,None,None,320,3:17
Yumi Murata - Face To Face.mp3,Face To Face,Yumi Murata,Desire,1985,Electronica/Dance,None,320,5:38
Tutto Previsto.mp3,Tutto Previsto,Eva Eva Eva,Donna Donna Donna,1977,None,None,320,5:32
Wolfsmond - Fühl Dich Frei (Basso's Maxi Version).mp3,Fühl Dich Frei (Basso's Maxi Version),Wolfsmond,Fühl Dich Frei,1982,Electronic,None,320,6:49
Yasuko Agawa - L. A. Nights.mp3,L. A. Nights,Yasuko Agawa,L.A. Night,1987,R&B,None,320,5:30
Yamasuki - Yokomo.mp3,None,Yamasuki,Le Monde Fabuleux Des Yamasuki,1971,None,None,320,3:10
Virna Lindt - Underwater Boy.mp3,Underwater Boy,Virna Lindt,Shiver,1984,None,None,320,6:18
Unit Eight - Schizo.mp3,Schizo,Unit Eight,Schizo,1978,Jazz, Funk / Soul,None,320,2:23
Zé Roberto - Lotus 72 D.mp3,Lotus 72 D,Zé Roberto,Lotus 72 D,1973,None,None,320,3:13
Zay _Instrumental_.mp3,Zay Instrumental,Djama,Zay,1989,Folk, World, & Country,None,320,4:24
Windsor Riley - The Move Of Life.mp3,The Move Of Life,Windsor Riley,The Move Of Life,1988,Electronic; Ambient; New Age,None,320,6:18
Velly Joonas - Stopp, Seisku Aeg!.mp3,Stopp, Seisku Aeg!,Velly Joonas,Stopp, Seisku Aeg!,1980,None,None,320,4:19
Yasuaki Shimizu - Shashin.mp3,Shashin,Yasuaki Shimizu,IQ 179,1981,Electronic, Jazz,None,320,3:21
X-tra Pleza - I Can Feel _Everythang_ (Instrumental).mp3,I Can Feel Everythang (Instrumental),X-tra Pleza,I Can Feel Everythang,1996,Hip Hop,None,320,3:35
Tribal Village - Tribal Message.mp3,Tribal Message,Tribal Village,Tribal E.P.,1992,Tribal,None,320,5:16
Yorgantz -Ammenain Serdov (De Tout Coeur).mp3,Ammenain Serdov (De Tout Coeur),Yorgantz,Yorgantz,1982,None,None,320,4:43
War - The World is a Ghetto.mp3,The World is a Ghetto,War,The World is a Ghetto,1972,R&B,None,320,10:17
Upstairs - You're Just Yourself.mp3,None,Upstairs,It's Hard To Get In The Showbiz,1980,None,None,320,4:11
